"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","FIDUCIARY OFFICE OR POSITION TYPE OF POSITION","FIDUCIARY OFFICE OR POSITION FAMILIAL RELATIONSHIP","FIDUCIARY OFFICE OR POSITION DATES HELD","year"
"140","RODERICK IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2012-03-15",NA,NA,NA,2011
"141","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2012-01-22","TRUSTEE, PETER A. SPINA","BROTHER","8/9/10 TO PRESENT",2011
"142","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2012-01-22","REVOCABLE TRUST(UNCOMPENSATED)","(DECEASED - 4/3/10)",NA,2011
"143","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2012-04-10","TRUSTEE, DURABLE POW ATTORNEY","MOTHER","2011",2011
"144","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2012-04-10","HEALTH CARE PROXY",NA,NA,2011
"145","JANICE M. BENNY","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2012-04-12",NA,NA,NA,2011
"146","FREDERICK L. BROWN","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2012-05-16",NA,NA,NA,2011
"147","JUDD J. CARHART","MASS APPEALS COURT","JUDGE","John Adams Courthouse","2012-03-31","EXECTIVE OF THE ESTATE OF THOMAS CARHART","FATHER","2/29/08 - PRESENT",2011
"148","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-24","TRUSTEE","SELF","ONGOING",2011
"149","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-24","TRUSTEE","SPOUSE",NA,2011
"150","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-24","DURABLE POWER OF ATTORNEY","SPOUSE",NA,2011
"151","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-24","HEALTH CARE PROXY","SPOUSE",NA,2011
"152","ANDRE A. GELINAS","MASS APPEALS COURT","ASSOC. JUSTICE, RECALL","JOHNADAMS COURTHOUSE SUITE3500 ONE PEMBERTON SQ BOSTON MA 02108","2012-05-04",NA,NA,NA,2011
"153","HON. ROBERT M. GRAHAM","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2012-04-27",NA,NA,NA,2011
"154","ANDREW GRAINGER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square","2012-01-10","TRUSTEE OF FAMILY TRUSTS","MOTHER, WIFE, SON","ONGOING FOR MANY YEARS",2011
"155","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","One Pemberton Square, SUITE 3-500","2012-02-07",NA,NA,NA,2011
"156","SYDNEY HANLON","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-13",NA,NA,NA,2011
"157","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square,","2012-04-11","TRUSTEE OF PARENTS WILL TRUST","PARENTS","JAN 1, 2011 - DEC 31, 2011",2011
"158","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square,","2012-04-11","TRUSTEE OF TRUST-FOR BROTHER AND BROTHER'S CHILDREN","BROTHER, NEPHEWS",NA,2011
"159","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","One Pemberton Square,","2012-04-11","TRUSTEE OF TRUST FOR UNCLE","UNCLE",NA,2011
"160","R. MARC KANTROWITZ","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-25",NA,NA,NA,2011
"161","JAMES F. MCHUGH","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-14","TRUSTEE OF TRUSTS FBO DAUGHTERS","DAUGHTERS","1/1/11 - 12/31/11",2011
"162","WILLIAM J. MEADE","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2012-01-27",NA,NA,NA,2011
"163","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2012-04-12","TRUSTEE - FOX REAL ESTATE TRUST","BROTHER","1994 - DATE",2011
"164","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-09","TRUSTEE, MARC S. RUBIN REVOCABLE TRUST","BROTHER","1/1-12/31/11",2011
"165","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-09","CO-TRUSTEE, JOAN B. RUBIN REVOCABLE TRUST","MOTHER",NA,2011
"166","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-09","CO-TRUSTEE, RESERVOIR 53 REALTY TRUST","MOTHER",NA,2011
"167","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-09","ADMINISTRATOR/TRUSTEE, PETER J. RUBIN PSP AND TRUST","SELF",NA,2011
"168","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-10","GUARDIAN","BROTHER","ENTIRE YEAR",2011
"169","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-10","TRUSTEE","BROTHER",NA,2011
"170","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-10","TRUSTEE","SISTER",NA,2011
"171","KENT B. SMITH","MASS APPEALS COURT",NA,"JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-02-10",NA,NA,NA,2011
"172","JOSEFH A. TRAINOR","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-04-04",NA,NA,NA,2011
"173","ROBERT J. CORDY","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-02-25",NA,NA,NA,2012
"174","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-06-10","TRUSTEE PETER A. SPINA","BROTHER","8/9/10-PRESENT",2012
"175","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-06-10","REVOCABLE TRUST","DEVEASED-4/3/10","PRESENT",2012
"176","RODERICK IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-15",NA,NA,NA,2012
"177","BARBARA A. LENK","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-08","CO-TRUSTEE","KATHARINE/JULIA LENK KRUPP - DAUGHTER","SINCE 1996",2012
"178","BARBARA A. LENK","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-08","POWER OF ATTORNEY AND THE HEALTH CARE PROXY FOR SPOUSE","DEBRA S KRUPP",NA,2012
"179","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-03-09","TRUSTEE, DURABLE POW ATTORNEY","MOTHER","2012",2012
"180","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-03-09","HEALTH CARE PROXY",NA,NA,2012
"181","PETER W. AGNESS JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-13",NA,NA,NA,2012
"182","JANICE M. BENNY","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2013-04-11",NA,NA,NA,2012
"183","FREDERICK L. BROWN","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-04-04",NA,NA,NA,2012
"184","JUDD J. CARHART","MASS APPEALS COURT",NA,"John Adams Courthouse","2013-03-22","EXECTIVE OF THE ESTATE OF THOMAS CARHART","FATHER","2/29/08 - PRESENT",2012
"185","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-01-29","TRUSTEE","SELF","ONGOING",2012
"186","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-01-29","TRUSTEE","SPOUSE","ONGOING",2012
"187","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-01-29","DURABLE POWER OF ATTORNEY","SPOUSE","ONGOING",2012
"188","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-01-29","HEALTH CARE PROXY","SPOUSE","ONGOING",2012
"189","HOU. AUDRE A. GELCUAS","MASS APPEALS COURT","ASSOC. JUSTICE (RECALL)","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2013-04-10",NA,NA,NA,2012
"190","ROBERT M. GRAHAM","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2013-04-09",NA,NA,NA,2012
"191","ANDREW GRAINGER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1751","2013-01-23","TRUSTEE SEVERAL FAMILY TRUSTS","SON, WIFE, MOTHER, SELF","ONGOING",2012
"192","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-02-04",NA,NA,NA,2012
"193","SYDNEY HANLON","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-04-10",NA,NA,NA,2012
"194","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-04-10","EXCUTOR AND TRUSTEE","PARENTS","1/1/12-12/31/12",2012
"195","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-04-10","TRUSTEE","BOTHER AND HIS CHILDREN","1/1/12-12/31/12",2012
"196","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-04-10","TRUSTEE","MY UNCLE","1/1/12-12/31/12",2012
"197","R. MARC KANTROWITZ","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2013-03-08",NA,NA,NA,2012
"198","JAMES F. MCHUGH","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1753","2013-04-05","TRUSTEE OF TRUST","DAUGHTER","1/1/12-2/29/12",2012
"199","WILLIAM J. MEADE","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1753","2013-03-01",NA,NA,NA,2012
"200","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108","2013-04-01","TRUSTEE-FOX REAL ESTATE TRUST","MOTHER IS THE SOLE BENEFICIARY","1994 TO DATE",2012
"201","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2013-04-02","TRUSTEE, MARC S. RUBIN REVOCABLE TRUST","BROTHER","1/1-12/31",2012
"202","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2013-04-02","CO-TRUSTEE, JOAN B. RUBIN REVOCABLE TRUST","MOTHER",NA,2012
"203","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2013-04-02","CO-TRUSTEE, RESERVOIR 53 REALTY TRUST","MOTHER",NA,2012
"204","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2013-04-02","ADMINISTRATOR/TRUSTEE, PETER J. RUBIN PSP AND TRUST","SELF",NA,2012
"205","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-25","GUARDIAN","BROTHER","ENTER YEAR",2011
"206","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-25","TRUSTEE","BORTHER",NA,2011
"207","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2012-03-25","TRUSTEE","SISTER",NA,2011
"208","JOSEFH A. TRAINOR","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2013-04-12",NA,NA,NA,2012
"209","ROBERT J. CORDY","SUPREME JUDICIAL COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-04-01",NA,NA,NA,2013
"210","RODERICK IRELAND","SUPREME JUDICIAL COURT",NA,"JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2014-04-15",NA,NA,NA,2013
"211","BARBARA A. LENK","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2014-04-06","CO-TRUSTEE","KATHARINE/JULIA LENK KRUPP - DAUGHTER",NA,2013
"212","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-01-21","TRUSTEE, PETER A. SPINA","BROTHER","8/9/10 TO PRESENT",2013
"213","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-01-21","REVOCAVLE TRUST (UNCOMPENSATED)","(DECEASED - 4/3/10)",NA,2013
"214","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-04-02","TRUSTEE AND EXCUTOR","EXCUTOR OF MOTHER","12/25/2012-PRESENT",2013
"215","PETER W. AGNESS JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2014-03-17",NA,NA,NA,2013
"216","JANICE M. BENNY","MASS APPEALS COURT","ASSOC. JUSTICE","John Adams Courthouse","2014-04-14",NA,NA,NA,2013
"217","FREDERICK L. BROWN","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-04-07",NA,NA,NA,2013
"218","JUDD J. CARHART","MASS APPEALS COURT",NA,"John Adams Courthouse","2014-03-23","EXCUTOR OF THE ESTATE OF THOMAS  CARHART","FATHER","2/29/08-PRESENT",2013
"219","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-02-05","TRUSTEE","SELF","ONGOING",2013
"220","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-02-05","TRUSTEE","SPOUSE",NA,2013
"221","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-02-05","DURABLE POWER OF ATTORNEY","SPOUSE",NA,2013
"222","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-02-05","HEALTH CARE PROXY","SPOUSE",NA,2013
"223","ROBERT M. GRAHAM","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2014-04-02",NA,NA,NA,2013
"224","ANDREW GRAINGER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1751","2014-01-13",NA,NA,NA,2013
"225","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-02-03","TRUSTEE OF FAMILY TRUSTS","MOTHER, SON","ONGOING",2013
"226","SYDNEY HANLON","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-04-11","EXCUTOR (BACK UP) NAMED IN THE WILL","TWO CLOSE PERSONAL FRIENDS","1990'S TO THE PRESENT",2013
"227","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-04-10","EXCUTOR AND TRUSTEE","MY PARENTS","1/1/13-12/31/13",2013
"228","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-04-10","TRUSTEE","BROTHER'S CHILDREN","1/1/13-12/31/13",2013
"229","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-04-10","TRUSTEE  ","UNCLE","1/1/13-12/31/13",2013
"230","R. MARC KANTROWITZ","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2014-03-04",NA,NA,NA,2013
"231","WILLIAM J. MEADE","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1753","2014-03-19",NA,NA,NA,2013
"232","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2014-04-12","TRUSTEE","MY BROTHER IS THE SOLE BENEFICIARY","1994 TO DATE",2013
"233","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-01-28","TRUSTEE, MARC S. RUBIN REVOCABLE TRUST","BROTHER","1/1-12/31",2013
"234","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-01-28","CO-TRYSTEE, JOAN B. RUBIN REVOCABLE TRUST","SELF","1/1-12/31",2013
"235","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-01-28","CO-TRUSTEE, RESERVOIR 53 REALTY TRUST","SELF, BROTHER","1/1-12/31",2013
"236","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-01-28","ADMINISTATOR/TRUSTEE, PETER J. RUBIN PSP AND TRUST","SELF","1/1-12/31",2013
"237","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-03-02","GUARDIAN","BROTHER","ENTIRE YEAR",2013
"238","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-03-02","TRUSTEE","BROTHER",NA,2013
"239","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108","2014-03-02","TRUSTEE","SISTER",NA,2013
"240","GABRIELLE R. WOLOHOJIAN","MASS APPEALS COURT","ASSOC. JUSTICE","JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109","2014-01-13","TRUSTEE OF FAMILY TRUST","DAUGHTER OF SETTLOR","1990-PRESENT",2013
